"bookid","orderid","unitprice","quantity","modifydate","score"
"440224675","10000186","83","1","2017/4/4","5"
"590416677","10000186","86","1","2017/4/4","10"
"345435273","10000270","104","1","2017/4/4","10"
"373028814","10000279","74","1","2017/4/4","7"
"740722298","10000323","173","1","2017/4/4","1"
"684822644","10000326","114","1","2017/4/4","10"
"373030940","10000340","60","1","2017/4/4","5"
"553276700","10000416","140","1","2017/4/4","7"
"812506561","10000416","56","1","2017/4/4","2"
"671669958","10000422","91","1","2017/4/4","4"
"380727129","10000461","108","1","2017/4/4","6"
"14023313","10000461","140","1","2017/4/4","4"
"316812471","10000559","100","1","2017/4/4","8"
"553274503","10000559","53","1","2017/4/4","8"
"449227421","10000642","60","1","2017/4/4","9"
"452274427","10000642","127","1","2017/4/4","7"
"60191872","10000642","196","1","2017/4/4","3"
"802733441","10000648","179","1","2017/4/4","8"
"3548201407","10000648","125","1","2017/4/4","3"
"671027360","10000867","187","1","2017/4/4","8"
"345376579","10000967","121","1","2017/4/4","10"
"786863137","10000967","121","1","2017/4/4","6"
"883590395","10001034","114","1","2017/4/4","6"
"316168688","10001034","187","1","2017/4/4","9"
"931866111","10001034","115","1","2017/4/4","9"
"140373489","10001125","166","1","2017/4/4","8"
"590435744","10001246","71","1","2017/4/4","10"
"679453067","10001498","76","1","2017/4/4","8"
"684801523","10001532","101","1","2017/4/4","9"
"1853260851","10001532","138","1","2017/4/4","10"
"671741209","10001532","86","1","2017/4/4","4"
"440422310","10001856","121","1","2017/4/4","10"
"515118656","10001876","123","1","2017/4/4","7"
"312963009","10001983","101","1","2017/4/4","10"
"394800303","10001983","112","1","2017/4/4","7"
"380726246","10000200","126","1","2017/4/5","7"
"553378864","10000223","52","1","2017/4/5","6"
"451406265","10000223","134","1","2017/4/5","10"
"1558749209","10000744","94","1","2017/4/5","9"
"440236738","10000838","98","1","2017/4/5","9"
"440225698","10000889","85","1","2017/4/5","6"
"345301110","10001092","60","1","2017/4/5","7"
"553380095","10001094","181","1","2017/4/5","8"
"671525751","10001094","180","1","2017/4/5","9"
"553576186","10001176","197","1","2017/4/5","7"
"553263978","10001176","71","1","2017/4/5","10"
"425138240","10001218","82","1","2017/4/5","10"
"39914417","10001218","114","1","2017/4/5","7"
"34528643","10001491","100","1","2017/4/5","8"
"460873164","10001491","139","1","2017/4/5","10"
"446603422","10001530","172","1","2017/4/5","9"
"571197639","10001590","60","1","2017/4/5","7"
"3499228033","10001605","68","1","2017/4/5","8"
"812513711","10001626","69","1","2017/4/5","9"
"671784684","10001626","131","1","2017/4/5","8"
"20530902","10001718","142","1","2017/4/5","9"
"64400018","10001718","127","1","2017/4/5","9"
"515122408","10001718","129","1","2017/4/5","8"
"679826424","10001827","132","1","2017/4/5","10"
"848715098","10001827","84","1","2017/4/5","10"
"743444531","10001863","66","1","2017/4/5","5"
"688031269","10001863","123","1","2017/4/5","6"
"140119906","10000153","115","1","2017/4/6","8"
"37575993","10000159","157","1","2017/4/6","2"
"671877836","10000159","80","1","2017/4/6","9"
"60976845","10000159","186","1","2017/4/6","1"
"399148248","10000182","162","1","2017/4/6","6"
"786005270","10000182","119","1","2017/4/6","2"
"1413702740","10000190","197","1","2017/4/6","7"
"747250081","10000205","82","1","2017/4/6","8"
"1891603124","10000205","85","1","2017/4/6","2"
"2130507395","10000205","59","1","2017/4/6","10"
"373898460","10000313","135","1","2017/4/6","10"
"671003755","10000313","143","1","2017/4/6","6"
"380791978","10000395","68","1","2017/4/6","6"
"425184323","10000395","143","1","2017/4/6","7"
"451525345","10000436","135","1","2017/4/6","10"
"425184129","10000436","129","1","2017/4/6","2"
"425176932","10000436","85","1","2017/4/6","7"
"140115234","10000593","197","1","2017/4/6","6"
"812967240","10000593","138","1","2017/4/6","2"
"1564145549","10000593","116","1","2017/4/6","1"
"671003941","10000663","76","1","2017/4/6","7"
"679409750","10000663","59","1","2017/4/6","1"
"679457356","10000672","146","1","2017/4/6","7"
"60915544","10000697","117","1","2017/4/6","6"
"380633132","10000717","135","1","2017/4/6","1"
"37591174","10000720","158","1","2017/4/6","10"
"316776963","10000762","91","1","2017/4/6","6"
"671776134","10000762","140","1","2017/4/6","4"
"451458265","10000956","108","1","2017/4/6","4"
"42511306","10001164","89","1","2017/4/6","9"
"739421751","10001240","191","1","2017/4/6","10"
"449003795","10001240","52","1","2017/4/6","9"
"380763990","10001243","117","1","2017/4/6","1"
"385490925","10001301","146","1","2017/4/6","7"
"74320803","10001301","87","1","2017/4/6","5"
"380813017","10001301","74","1","2017/4/6","3"
"425185400","10001417","52","1","2017/4/6","7"
"618015841","10001417","85","1","2017/4/6","6"
"6016848","10001417","114","1","2017/4/6","8"
"440418496","10001503","189","1","2017/4/6","7"
"440240808","10001549","82","1","2017/4/6","2"
"886777828","10001549","113","1","2017/4/6","8"
"553204548","10001549","59","1","2017/4/6","5"
"515124214","10001602","113","1","2017/4/6","1"
"874778883","10001602","122","1","2017/4/6","10"
"553261908","10001602","119","1","2017/4/6","6"
"262680025","10001628","120","1","2017/4/6","9"
"811832139","10000139","75","1","2017/4/7","10"
"486225038","10000345","77","1","2017/4/7","4"
"671244280","10000345","89","1","2017/4/7","5"
"688147526","10000345","174","1","2017/4/7","2"
"525939695","10000435","91","1","2017/4/7","2"
"151421935","10000435","174","1","2017/4/7","2"
"416009514","10000522","51","1","2017/4/7","8"
"345413938","10000936","88","1","2017/4/7","8"
"201354934","10000936","140","1","2017/4/7","8"
"449006344","10000936","82","1","2017/4/7","8"
"449910237","10000945","174","1","2017/4/7","5"
"743227107","10000945","119","1","2017/4/7","6"
"875966357","10001003","153","1","2017/4/7","8"
"3404123689","10001016","108","1","2017/4/7","10"
"425177351","10001089","120","1","2017/4/7","8"
"671867806","10001197","179","1","2017/4/7","7"
"345313860","10001197","144","1","2017/4/7","8"
"425175472","10001227","185","1","2017/4/7","9"
"330280376","10001227","158","1","2017/4/7","1"
"316666009","10001274","196","1","2017/4/7","8"
"394850017","10001438","162","1","2017/4/7","8"
"843948302","10001744","115","1","2017/4/7","7"
"767900111","10001744","58","1","2017/4/7","6"
"312313810","10001786","140","1","2017/4/7","3"
"67169507","10001786","130","1","2017/4/7","2"
"312950934","10001797","141","1","2017/4/7","1"
"451524411","10001797","69","1","2017/4/7","4"
"380789035","10001844","165","1","2017/4/7","6"
"821752855","10001844","113","1","2017/4/7","8"
"679750185","10001953","129","1","2017/4/7","6"
"60987049","10001953","116","1","2017/4/7","9"
"42518630","10000113","50","1","2017/4/8","7"
"380899531","10000121","140","1","2017/4/8","5"
"156007754","10000121","112","1","2017/4/8","8"
"373117523","10000202","125","1","2017/4/8","4"
"61099147","10000248","140","1","2017/4/8","10"
"670843318","10000299","168","1","2017/4/8","7"
"1840235780","10000299","166","1","2017/4/8","10"
"1853261874","10000304","196","1","2017/4/8","5"
"439064872","10000304","139","1","2017/4/8","10"
"307987868","10000304","140","1","2017/4/8","5"
"61062154","10000335","161","1","2017/4/8","9"
"142300497","10000335","196","1","2017/4/8","1"
"440362660","10000336","101","1","2017/4/8","3"
"425084361","10000336","119","1","2017/4/8","3"
"393035646","10000337","94","1","2017/4/8","9"
"373707533","10000463","113","1","2017/4/8","4"
"553262149","10000463","125","1","2017/4/8","10"
"525944214","10000704","123","1","2017/4/8","6"
"373483511","10000775","60","1","2017/4/8","5"
"446515493","10000775","127","1","2017/4/8","7"
"786867345","10000775","112","1","2017/4/8","7"
"684802090","10000778","132","1","2017/4/8","7"
"689714335","10000778","121","1","2017/4/8","7"
"684854759","10000843","178","1","2017/4/8","7"
"69401642","10001010","50","1","2017/4/8","5"
"3492045170","10001010","75","1","2017/4/8","7"
"425134350","10001258","180","1","2017/4/8","4"
"786012633","10001258","56","1","2017/4/8","7"
"821740458","10001298","115","1","2017/4/8","7"
"440235146","10001298","127","1","2017/4/8","1"
"140440445","10001547","69","1","2017/4/8","3"
"38081191","10001547","104","1","2017/4/8","2"
"451456769","10001547","88","1","2017/4/8","10"
"671793535","10001577","174","1","2017/4/8","4"
"399529306","10001577","181","1","2017/4/8","9"
"399142282","10001661","173","1","2017/4/8","9"
"307126226","10001705","113","1","2017/4/8","1"
"849911796","10001705","113","1","2017/4/8","4"
"451205561","10001798","113","1","2017/4/8","9"
"345337662","10001910","142","1","2017/4/8","5"
"937611018","10000023","82","1","2017/4/9","4"
"3257230001","10000029","111","1","2017/4/9","8"
"440204208","10000039","60","1","2017/4/9","3"
"743456378","10000068","124","1","2017/4/9","8"
"416126421","10000068","102","1","2017/4/9","10"
"843947489","10000124","149","1","2017/4/9","3"
"886779766","10000124","102","1","2017/4/9","5"
"312878435","10000124","127","1","2017/4/9","8"
"553294903","10000138","80","1","2017/4/9","6"
"449901998","10000138","158","1","2017/4/9","8"
"553278355","10000594","124","1","2017/4/9","9"
"425188310","10000612","141","1","2017/4/9","4"
"375412824","10000612","83","1","2017/4/9","4"
"679732497","10000758","115","1","2017/4/9","10"
"671733877","10000758","181","1","2017/4/9","2"
"375504397","10000891","82","1","2017/4/9","8"
"373708378","10000906","146","1","2017/4/9","10"
"449002470","10001038","68","1","2017/4/9","1"
"517594404","10001265","143","1","2017/4/9","9"
"399501487","10001265","138","1","2017/4/9","1"
"425163407","10001330","166","1","2017/4/9","5"
"393035433","10001330","126","1","2017/4/9","2"
"8401499046","10001336","124","1","2017/4/9","5"
"345450892","10001336","113","1","2017/4/9","8"
"812507274","10001440","83","1","2017/4/9","8"
"786887001","10001440","145","1","2017/4/9","8"
"435082035","10001444","91","1","2017/4/9","5"
"140236287","10001554","82","1","2017/4/9","1"
"553260960","10001583","94","1","2017/4/9","6"
"679745688","10001823","135","1","2017/4/9","5"
"3596150655","10001823","80","1","2017/4/9","1"
"307995089","10001923","153","1","2017/4/9","9"
"525946241","10001923","104","1","2017/4/9","6"
"425152235","10001923","173","1","2017/4/9","7"
"55357258","10000120","56","1","2017/4/10","10"
"3499131803","10000120","60","1","2017/4/10","1"
"786001550","10000506","169","1","2017/4/10","1"
"451160959","10000506","60","1","2017/4/10","5"
"425179613","10000506","102","1","2017/4/10","10"
"373197187","10000591","146","1","2017/4/10","9"
"1572972173","10000726","101","1","2017/4/10","5"
"446611611","10000726","121","1","2017/4/10","9"
"385417845","10000763","111","1","2017/4/10","8"
"761305106","10000763","141","1","2017/4/10","10"
"964352907","10001019","87","1","2017/4/10","10"
"373255616","10001019","142","1","2017/4/10","7"
"618341617","10001021","85","1","2017/4/10","10"
"912656735","10001021","120","1","2017/4/10","8"
"1893896064","10001077","113","1","2017/4/10","8"
"345391055","10001223","108","1","2017/4/10","2"
"86442471","10001223","140","1","2017/4/10","5"
"671024728","10001223","146","1","2017/4/10","2"
"8434840472","10001232","128","1","2017/4/10","9"
"380817195","10001343","53","1","2017/4/10","7"
"739429345","10001343","169","1","2017/4/10","3"
"765340747","10001409","85","1","2017/4/10","9"
"525470832","10001409","104","1","2017/4/10","6"
"452272319","10001448","140","1","2017/4/10","4"
"931188237","10001560","88","1","2017/4/10","8"
"684843323","10001560","94","1","2017/4/10","9"
"345434692","10001678","68","1","2017/4/10","8"
"385335482","10001824","58","1","2017/4/10","1"
"310354110","10001824","124","1","2017/4/10","1"
"385471998","10001877","174","1","2017/4/10","10"
"307130118","10001877","124","1","2017/4/10","8"
"684195984","10001898","110","1","2017/4/10","7"
"307204022","10001932","169","1","2017/4/10","10"
"316666343","10001949","113","1","2017/4/10","10"
"2070322831","10001957","113","1","2017/4/10","8"
"345443284","10000237","189","1","2017/4/11","7"
"440984459","10000530","80","1","2017/4/11","7"
"440235774","10000824","85","1","2017/4/11","2"
"877736588","10001058","101","1","2017/4/11","1"
"30975891","10001156","60","1","2017/4/11","7"
"586204369","10001156","71","1","2017/4/11","2"
"812570944","10001282","112","1","2017/4/11","6"
"307062236","10001358","149","1","2017/4/11","10"
"525940499","10001358","110","1","2017/4/11","1"
"345382846","10001358","69","1","2017/4/11","6"
"373122926","10001455","105","1","2017/4/11","7"
"394576152","10001681","59","1","2017/4/11","9"
"553580906","10001681","120","1","2017/4/11","7"
"345451260","10001681","186","1","2017/4/11","2"
"671737805","10001695","185","1","2017/4/11","7"
"140241930","10001795","108","1","2017/4/11","10"
"60173289","10001795","115","1","2017/4/11","7"
"816143374","10001926","74","1","2017/4/11","9"
"684826127","10001930","134","1","2017/4/11","6"
"880294906","10001930","91","1","2017/4/11","6"
"553347233","10001930","146","1","2017/4/11","2"
"737020490","10000204","60","1","2017/4/12","9"
"440217466","10000277","110","1","2017/4/12","10"
"385334931","10000277","165","1","2017/4/12","7"
"946014027","10000277","135","1","2017/4/12","10"
"609603086","10000473","52","1","2017/4/12","8"
"140075968","10000473","164","1","2017/4/12","10"
"60932678","10000473","82","1","2017/4/12","2"
"312979886","10000532","66","1","2017/4/12","7"
"60809248","10000618","117","1","2017/4/12","4"
"373196431","10000618","100","1","2017/4/12","3"
"441002056","10000618","113","1","2017/4/12","8"
"375724834","10000640","56","1","2017/4/12","5"
"425148297","10000640","113","1","2017/4/12","2"
"738206792","10000649","122","1","2017/4/12","10"
"307022390","10000649","165","1","2017/4/12","10"
"312915799","10000652","174","1","2017/4/12","10"
"373291558","10000696","129","1","2017/4/12","10"
"679432965","10000696","126","1","2017/4/12","6"
"553571885","10000788","177","1","2017/4/12","4"
"380013207","10000788","191","1","2017/4/12","6"
"345377443","10000943","85","1","2017/4/12","5"
"61000043","10000975","141","1","2017/4/12","7"
"59012899","10001214","69","1","2017/4/12","1"
"380799006","10001214","181","1","2017/4/12","6"
"312289901","10001214","98","1","2017/4/12","5"
"158062524","10001618","117","1","2017/4/12","4"
"440415489","10001687","117","1","2017/4/12","5"
"1851526781","10001687","97","1","2017/4/12","7"
"1573225517","10001687","121","1","2017/4/12","10"
"971880107","10001773","68","1","2017/4/12","10"
"671628259","10001778","77","1","2017/4/12","9"
"380778556","10001904","108","1","2017/4/12","8"
"553213148","10001904","140","1","2017/4/12","9"
"679777431","10000026","125","1","2017/4/13","7"
"55380202","10000026","143","1","2017/4/13","4"
"446604801","10000026","66","1","2017/4/13","8"
"140244824","10000072","134","1","2017/4/13","7"
"933087535","10000074","50","1","2017/4/13","7"
"451190750","10000075","102","1","2017/4/13","2"
"445408642","10000075","72","1","2017/4/13","4"
"441172717","10000080","122","1","2017/4/13","8"
"743460529","10000127","71","1","2017/4/13","4"
"553280368","10000127","111","1","2017/4/13","7"
"1551668939","10000127","128","1","2017/4/13","8"
"316197416","10000188","138","1","2017/4/13","6"
"441790348","10000397","102","1","2017/4/13","7"
"765346524","10000397","125","1","2017/4/13","10"
"786862564","10000607","115","1","2017/4/13","10"
"679853065","10000607","140","1","2017/4/13","9"
"590474812","10000607","113","1","2017/4/13","4"
"8432039985","10000613","82","1","2017/4/13","4"
"830816550","10000654","115","1","2017/4/13","8"
"3822855499","10000753","99","1","2017/4/13","7"
"448126346","10000753","189","1","2017/4/13","8"
"1853261726","10000753","107","1","2017/4/13","5"
"743444779","10000895","105","1","2017/4/13","5"
"310200059","10000895","138","1","2017/4/13","9"
"64409422","10000895","52","1","2017/4/13","9"
"671024248","10000961","144","1","2017/4/13","9"
"670910619","10000961","124","1","2017/4/13","5"
"340427205","10000994","80","1","2017/4/13","9"
"394837320","10001080","95","1","2017/4/13","8"
"394494156","10001113","119","1","2017/4/13","10"
"805037977","10001140","180","1","2017/4/13","2"
"684831546","10001144","56","1","2017/4/13","5"
"8880891766","10001144","68","1","2017/4/13","4"
"812523385","10001144","146","1","2017/4/13","5"
"440414806","10001161","94","1","2017/4/13","9"
"451183665","10001161","111","1","2017/4/13","10"
"440217865","10001172","140","1","2017/4/13","9"
"552998486","10001172","80","1","2017/4/13","9"
"486270572","10001172","53","1","2017/4/13","2"
"395395844","10001193","98","1","2017/4/13","10"
"553582526","10001193","140","1","2017/4/13","8"
"312956207","10001193","138","1","2017/4/13","8"
"3499133040","10001236","112","1","2017/4/13","8"
"899670202","10001236","119","1","2017/4/13","3"
"812509242","10001236","80","1","2017/4/13","8"
"671534718","10001253","100","1","2017/4/13","8"
"312984820","10001302","52","1","2017/4/13","8"
"1853260622","10001302","101","1","2017/4/13","7"
"60508108","10001309","179","1","2017/4/13","7"
"1857022424","10001447","83","1","2017/4/13","3"
"425192652","10001447","125","1","2017/4/13","9"
"393312461","10001474","168","1","2017/4/13","10"
"55328987","10001474","104","1","2017/4/13","3"
"440114764","10001569","95","1","2017/4/13","10"
"1550134140","10001884","101","1","2017/4/13","9"
"451452569","10001914","98","1","2017/4/13","9"
"786813725","10001914","197","1","2017/4/13","3"
"312308450","10000375","115","1","2017/4/14","6"
"671011367","10000409","75","1","2017/4/14","3"
"1551669447","10000409","82","1","2017/4/14","10"
"879975083","10000468","91","1","2017/4/14","3"
"451188454","10000468","53","1","2017/4/14","10"
"449236560","10000567","126","1","2017/4/14","4"
"394718380","10000684","168","1","2017/4/14","8"
"385314698","10000845","80","1","2017/4/14","8"
"671872362","10000845","125","1","2017/4/14","2"
"671524313","10000903","153","1","2017/4/14","10"
"440224861","10000944","131","1","2017/4/14","7"
"843950900","10000944","69","1","2017/4/14","6"
"385484275","10001032","119","1","2017/4/14","6"
"425083837","10001050","74","1","2017/4/14","6"
"525942068","10001065","128","1","2017/4/14","9"
"380795590","10001065","178","1","2017/4/14","9"
"440114330","10001198","132","1","2017/4/14","3"
"671894455","10001198","52","1","2017/4/14","2"
"1561381705","10001485","68","1","2017/4/14","9"
"3257232551","10001622","117","1","2017/4/14","3"
"451178017","10001663","128","1","2017/4/14","5"
"345339711","10001663","149","1","2017/4/14","10"
"440188415","10001885","143","1","2017/4/14","8"
"375505547","10001895","108","1","2017/4/14","7"
"1400040442","10001908","121","1","2017/4/14","10"
"553290568","10001908","140","1","2017/4/14","4"
"916773221","10000012","198","1","2017/4/15","2"
"451128168","10000012","187","1","2017/4/15","9"
"671870955","10000210","145","1","2017/4/15","6"
"553576801","10000210","86","1","2017/4/15","4"
"449216977","10000210","140","1","2017/4/15","4"
"1859580238","10000325","115","1","2017/4/15","8"
"440241413","10000556","80","1","2017/4/15","10"
"1853262102","10000556","85","1","2017/4/15","8"
"449213323","10000556","120","1","2017/4/15","8"
"440940001","10000589","101","1","2017/4/15","1"
"55328942","10000683","113","1","2017/4/15","4"
"449207463","10000683","59","1","2017/4/15","5"
"425178234","10000683","71","1","2017/4/15","9"
"671003119","10000766","88","1","2017/4/15","8"
"373700067","10000780","109","1","2017/4/15","6"
"807576743","10000905","69","1","2017/4/15","9"
"834800799","10001373","178","1","2017/4/15","1"
"898798728","10001379","145","1","2017/4/15","10"
"515118656","10001526","123","1","2017/4/15","7"
"8440679319","10001535","105","1","2017/4/15","5"
"345381734","10001639","165","1","2017/4/15","10"
"821772902","10001760","166","1","2017/4/15","8"
"523403542","10001760","185","1","2017/4/15","10"
"449210928","10001839","129","1","2017/4/15","8"
"3404148576","10001839","117","1","2017/4/15","6"
"679425241","10001839","82","1","2017/4/15","6"
"60191813","10001917","135","1","2017/4/15","4"
"345325850","10001917","110","1","2017/4/15","10"
"312042671","10001978","50","1","2017/4/15","7"
"679433317","10001991","138","1","2017/4/15","7"
"440220602","10000021","127","1","2017/4/16","5"
"836217012","10000021","143","1","2017/4/16","8"
"679731725","10000021","164","1","2017/4/16","3"
"156364654","10000081","140","1","2017/4/16","1"
"1403309027","10000117","187","1","2017/4/16","8"
"375727345","10000128","91","1","2017/4/16","3"
"879515058","10000219","114","1","2017/4/16","7"
"312907575","10000318","91","1","2017/4/16","10"
"42517736","10000437","165","1","2017/4/16","7"
"55305340","10000617","59","1","2017/4/16","2"
"425175405","10000626","60","1","2017/4/16","3"
"1573225789","10000774","100","1","2017/4/16","8"
"373062079","10000774","111","1","2017/4/16","7"
"1580082297","10000774","127","1","2017/4/16","8"
"679733167","10000781","114","1","2017/4/16","10"
"553270184","10000784","108","1","2017/4/16","1"
"373226810","10000813","127","1","2017/4/16","7"
"2266064886","10000813","86","1","2017/4/16","7"
"451209710","10000842","181","1","2017/4/16","5"
"140042334","10000974","63","1","2017/4/16","8"
"812570928","10001054","53","1","2017/4/16","8"
"670827762","10001084","113","1","2017/4/16","9"
"449207463","10001084","59","1","2017/4/16","5"
"330339125","10001084","50","1","2017/4/16","1"
"449212653","10001119","83","1","2017/4/16","3"
"441010296","10001119","104","1","2017/4/16","9"
"345313860","10001162","144","1","2017/4/16","8"
"385335830","10001162","119","1","2017/4/16","6"
"1853260002","10001186","112","1","2017/4/16","10"
"1574862537","10001192","169","1","2017/4/16","8"
"3442445736","10001234","158","1","2017/4/16","5"
"64407691","10001234","56","1","2017/4/16","9"
"385489102","10001283","113","1","2017/4/16","10"
"439064872","10001342","139","1","2017/4/16","10"
"451410386","10001771","67","1","2017/4/16","10"
"345275861","10001880","146","1","2017/4/16","7"
"28609867","10001880","185","1","2017/4/16","5"
"345377443","10001936","85","1","2017/4/16","5"
"60930535","10001936","121","1","2017/4/16","8"
"373264186","10001936","58","1","2017/4/16","10"
"460877356","10000018","52","1","2017/4/17","3"
"380784157","10000018","56","1","2017/4/17","7"
"345389220","10000090","85","1","2017/4/17","9"
"811802981","10000162","161","1","2017/4/17","3"
"156010879","10000197","158","1","2017/4/17","4"
"1550224220","10000225","140","1","2017/4/17","5"
"753505843","10000225","140","1","2017/4/17","3"
"385490992","10000384","140","1","2017/4/17","9"
"440498058","10000515","91","1","2017/4/17","2"
"61050415","10000515","59","1","2017/4/17","9"
"805006796","10000547","52","1","2017/4/17","8"
"425164462","10000547","69","1","2017/4/17","9"
"399148027","10000547","119","1","2017/4/17","10"
"553274554","10000664","104","1","2017/4/17","5"
"515130389","10000664","115","1","2017/4/17","3"
"440928397","10000664","108","1","2017/4/17","1"
"345433017","10000802","98","1","2017/4/17","7"
"553375407","10000802","146","1","2017/4/17","9"
"515056448","10000857","67","1","2017/4/17","8"
"738201731","10000992","113","1","2017/4/17","10"
"684853507","10001123","117","1","2017/4/17","9"
"809498502","10001123","176","1","2017/4/17","10"
"3570003256","10001266","129","1","2017/4/17","5"
"2290321095","10001266","102","1","2017/4/17","7"
"316289124","10001325","101","1","2017/4/17","2"
"515093203","10001325","89","1","2017/4/17","7"
"385306024","10001603","140","1","2017/4/17","4"
"671880187","10001603","174","1","2017/4/17","10"
"64640361","10001867","139","1","2017/4/17","6"
"866226761","10000226","127","1","2017/4/18","1"
"904681351","10000236","197","1","2017/4/18","10"
"893011150","10000236","56","1","2017/4/18","5"
"60554894","10000276","82","1","2017/4/18","7"
"316135321","10000276","169","1","2017/4/18","9"
"553560581","10000344","60","1","2017/4/18","9"
"31023008","10000353","113","1","2017/4/18","8"
"312915934","10000414","158","1","2017/4/18","10"
"440241073","10000414","98","1","2017/4/18","5"
